{'method': 'CDAN+E', 'gpu': '0', 'num_iterations': 150000, 'test_interval': 200, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': False, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 87}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.0002, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': '/home/adarsh/project/CDAN/pytorch/sketchy_train.txt', 'batch_size': 32}, 'target': {'list_path': '/home/adarsh/project/CDAN/pytorch/quick_draw_train.txt', 'batch_size': 32}, 'test': {'list_path': '/home/adarsh/project/CDAN/pytorch/quick_draw_val.txt', 'batch_size': 32}, 'source_test': {'list_path': '/home/adarsh/project/CDAN/pytorch/sketchy_val.txt', 'batch_size': 32}}}iter: 00199, precision: 0.05747
iter: 31799, precision: 0.41785
iter: 31999, precision: 0.42101
iter: 32199, precision: 0.42574
iter: 32399, precision: 0.42822
iter: 32599, precision: 0.42619
iter: 32799, precision: 0.41492
iter: 32999, precision: 0.41875
iter: 33199, precision: 0.41875
iter: 33399, precision: 0.41920
iter: 33599, precision: 0.42394
iter: 33799, precision: 0.42123
iter: 33999, precision: 0.42371
iter: 34199, precision: 0.42371
iter: 34399, precision: 0.41988
iter: 34599, precision: 0.41515
iter: 34799, precision: 0.41357
iter: 34999, precision: 0.41515
iter: 35199, precision: 0.41717
iter: 35399, precision: 0.41785
iter: 35599, precision: 0.42867
iter: 35799, precision: 0.41334
iter: 35999, precision: 0.42010
iter: 36199, precision: 0.42394
iter: 36399, precision: 0.42506
iter: 36599, precision: 0.42979
iter: 36799, precision: 0.42055
iter: 36999, precision: 0.42348
iter: 37199, precision: 0.42461
iter: 37399, precision: 0.41965
iter: 37599, precision: 0.41853
iter: 37799, precision: 0.42146
iter: 37999, precision: 0.41762
iter: 38199, precision: 0.42619
iter: 38399, precision: 0.41537
iter: 38599, precision: 0.42732
iter: 38799, precision: 0.42146
iter: 38999, precision: 0.42236
iter: 39199, precision: 0.42213
iter: 39399, precision: 0.42484
iter: 39599, precision: 0.42596
iter: 39799, precision: 0.42303
iter: 39999, precision: 0.42416
iter: 40199, precision: 0.42371
iter: 40399, precision: 0.42484
iter: 40599, precision: 0.41785
iter: 40799, precision: 0.42664
iter: 40999, precision: 0.42551
iter: 41199, precision: 0.42664
iter: 41399, precision: 0.42326
iter: 41599, precision: 0.42326
iter: 41799, precision: 0.43160
iter: 41999, precision: 0.43295
iter: 42199, precision: 0.43430
iter: 42399, precision: 0.43115
iter: 42599, precision: 0.42822
iter: 42799, precision: 0.43498
iter: 42999, precision: 0.43227
iter: 43199, precision: 0.42596
iter: 43399, precision: 0.42123
iter: 43599, precision: 0.42979
iter: 43799, precision: 0.42596
iter: 43999, precision: 0.42529
iter: 44199, precision: 0.43092
iter: 44399, precision: 0.42506
iter: 44599, precision: 0.42664
iter: 44799, precision: 0.42686
iter: 44999, precision: 0.42529
iter: 45199, precision: 0.42348
iter: 45399, precision: 0.41920
iter: 45599, precision: 0.42484
iter: 45799, precision: 0.42394
iter: 45999, precision: 0.43160
iter: 46199, precision: 0.43295
iter: 46399, precision: 0.42574
iter: 46599, precision: 0.43092
iter: 46799, precision: 0.42686
iter: 46999, precision: 0.41627
iter: 47199, precision: 0.42574
iter: 47399, precision: 0.42686
iter: 47599, precision: 0.43137
iter: 47799, precision: 0.42641
iter: 47999, precision: 0.42506
iter: 48199, precision: 0.42934
iter: 48399, precision: 0.43115
iter: 48599, precision: 0.42934
iter: 48799, precision: 0.43227
iter: 48999, precision: 0.43295
iter: 49199, precision: 0.42844
iter: 49399, precision: 0.42934
iter: 49599, precision: 0.42754
iter: 49799, precision: 0.43340
iter: 49999, precision: 0.42844
iter: 50199, precision: 0.42822
iter: 50399, precision: 0.43385
iter: 50599, precision: 0.43746
iter: 50799, precision: 0.42799
iter: 50999, precision: 0.43453
iter: 51199, precision: 0.43475
iter: 51399, precision: 0.43002
iter: 51599, precision: 0.43115
iter: 51799, precision: 0.42979
iter: 51999, precision: 0.42799
iter: 52199, precision: 0.43520
iter: 52399, precision: 0.42822
iter: 52599, precision: 0.42686
iter: 52799, precision: 0.42596
iter: 52999, precision: 0.42326
iter: 53199, precision: 0.42777
iter: 53399, precision: 0.43611
iter: 53599, precision: 0.43205
iter: 53799, precision: 0.42957
iter: 53999, precision: 0.42709
iter: 54199, precision: 0.42844
iter: 54399, precision: 0.43047
iter: 54599, precision: 0.43318
iter: 54799, precision: 0.42641
iter: 54999, precision: 0.43182
iter: 55199, precision: 0.42596
iter: 55399, precision: 0.43160
iter: 55599, precision: 0.42371
iter: 55799, precision: 0.43408
iter: 55999, precision: 0.43295
iter: 56199, precision: 0.44016
iter: 56399, precision: 0.43025
iter: 56599, precision: 0.42506
iter: 56799, precision: 0.42912
iter: 56999, precision: 0.42957
iter: 57199, precision: 0.43565
iter: 57399, precision: 0.43318
iter: 57599, precision: 0.43272
iter: 57799, precision: 0.42236
iter: 57999, precision: 0.43295
iter: 58199, precision: 0.43475
iter: 58399, precision: 0.42754
iter: 58599, precision: 0.43160
iter: 58799, precision: 0.42664
iter: 58999, precision: 0.43182
iter: 59199, precision: 0.43791
iter: 59399, precision: 0.43047
iter: 59599, precision: 0.43002
iter: 59799, precision: 0.43137
iter: 59999, precision: 0.42258
iter: 60199, precision: 0.43363
iter: 60399, precision: 0.42889
iter: 60599, precision: 0.42484
iter: 60799, precision: 0.43250
iter: 60999, precision: 0.42777
iter: 61199, precision: 0.42979
iter: 61399, precision: 0.42957
iter: 61599, precision: 0.43385
iter: 61799, precision: 0.43002
iter: 61999, precision: 0.42394
iter: 62199, precision: 0.43475
iter: 62399, precision: 0.42574
iter: 62599, precision: 0.43115
iter: 62799, precision: 0.42529
iter: 62999, precision: 0.43205
iter: 63199, precision: 0.42236
iter: 63399, precision: 0.43115
iter: 63599, precision: 0.43565
iter: 63799, precision: 0.42777
iter: 63999, precision: 0.42394
iter: 64199, precision: 0.43318
iter: 64399, precision: 0.42822
iter: 64599, precision: 0.42777
iter: 64799, precision: 0.43227
iter: 64999, precision: 0.43475
iter: 65199, precision: 0.43092
iter: 65399, precision: 0.42529
iter: 65599, precision: 0.42889
iter: 65799, precision: 0.42889
iter: 65999, precision: 0.42934
iter: 66199, precision: 0.43318
iter: 66399, precision: 0.43115
iter: 66599, precision: 0.43701
iter: 66799, precision: 0.42979
iter: 66999, precision: 0.42979
iter: 67199, precision: 0.43408
iter: 67399, precision: 0.43565
iter: 67599, precision: 0.43070
iter: 67799, precision: 0.43002
iter: 67999, precision: 0.43543
iter: 68199, precision: 0.43453
iter: 68399, precision: 0.44287
iter: 68599, precision: 0.43250
iter: 68799, precision: 0.43205
iter: 68999, precision: 0.43475
iter: 69199, precision: 0.43430
iter: 69399, precision: 0.43295
iter: 69599, precision: 0.43498
iter: 69799, precision: 0.42957
iter: 69999, precision: 0.42777
iter: 70199, precision: 0.42979
iter: 70399, precision: 0.42957
iter: 70599, precision: 0.43295
iter: 70799, precision: 0.43611
iter: 70999, precision: 0.43611
iter: 71199, precision: 0.42889
iter: 71399, precision: 0.43002
iter: 71599, precision: 0.43520
iter: 71799, precision: 0.42889
iter: 71999, precision: 0.42506
iter: 72199, precision: 0.43205
iter: 72399, precision: 0.43250
iter: 72599, precision: 0.43791
iter: 72799, precision: 0.42732
iter: 72999, precision: 0.42709
iter: 73199, precision: 0.43430
iter: 73399, precision: 0.43588
iter: 73599, precision: 0.43340
iter: 73799, precision: 0.43520
iter: 73999, precision: 0.43858
iter: 74199, precision: 0.43363
iter: 74399, precision: 0.43272
iter: 74599, precision: 0.43025
iter: 74799, precision: 0.43047
iter: 74999, precision: 0.43453
iter: 75199, precision: 0.43611
iter: 75399, precision: 0.43813
iter: 75599, precision: 0.43656
iter: 75799, precision: 0.43791
iter: 75999, precision: 0.43746
iter: 76199, precision: 0.43543
iter: 76399, precision: 0.43611
iter: 76599, precision: 0.43408
iter: 76799, precision: 0.42799
iter: 76999, precision: 0.43002
iter: 77199, precision: 0.43363
iter: 77399, precision: 0.43340
iter: 77599, precision: 0.42979
iter: 77799, precision: 0.43160
iter: 77999, precision: 0.43160
iter: 78199, precision: 0.43520
iter: 78399, precision: 0.43633
iter: 78599, precision: 0.43475
iter: 78799, precision: 0.43295
iter: 78999, precision: 0.43723
iter: 79199, precision: 0.44151
iter: 79399, precision: 0.43363
iter: 79599, precision: 0.42867
iter: 79799, precision: 0.43475
iter: 79999, precision: 0.42912
iter: 80199, precision: 0.43385
iter: 80399, precision: 0.43092
iter: 80599, precision: 0.43791
iter: 80799, precision: 0.43565
iter: 80999, precision: 0.43656
iter: 81199, precision: 0.43701
iter: 81399, precision: 0.44061
iter: 81599, precision: 0.43250
iter: 81799, precision: 0.43340
iter: 81999, precision: 0.43002
iter: 82199, precision: 0.43137
iter: 82399, precision: 0.43250
iter: 82599, precision: 0.43475
iter: 82799, precision: 0.43227
iter: 82999, precision: 0.43182
iter: 83199, precision: 0.43318
iter: 83399, precision: 0.43498
iter: 83599, precision: 0.43678
iter: 83799, precision: 0.44197
iter: 83999, precision: 0.43475
iter: 84199, precision: 0.44174
iter: 84399, precision: 0.43070
iter: 84599, precision: 0.44039
iter: 84799, precision: 0.43971
iter: 84999, precision: 0.43363
iter: 85199, precision: 0.43318
iter: 85399, precision: 0.43926
iter: 85599, precision: 0.44061
iter: 85799, precision: 0.43656
iter: 85999, precision: 0.44016
iter: 86199, precision: 0.43768
iter: 86399, precision: 0.43611
iter: 86599, precision: 0.43160
iter: 86799, precision: 0.43723
iter: 86999, precision: 0.43475
iter: 87199, precision: 0.43475
iter: 87399, precision: 0.43768
iter: 87599, precision: 0.43453
iter: 87799, precision: 0.43227
iter: 87999, precision: 0.43836
iter: 88199, precision: 0.43971
iter: 88399, precision: 0.43205
iter: 88599, precision: 0.43295
iter: 88799, precision: 0.43858
iter: 88999, precision: 0.43971
iter: 89199, precision: 0.43926
iter: 89399, precision: 0.43295
iter: 89599, precision: 0.43295
iter: 89799, precision: 0.43340
iter: 89999, precision: 0.43475
iter: 90199, precision: 0.44039
iter: 90399, precision: 0.43295
iter: 90599, precision: 0.43272
